,Name,Position,Appearances,Clean sheets,Goals conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,,,,,,
105,Marcus Browne ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
106,Bruno ,Defender,25,8,23,30,57%,0,0,38,60,31,0,116,81,61,15,28,22,0,0,0,973,38.92,0,41,17%,0,62,3,0,19,0,0,0,0,0,0,,,,,,
107,Chris Brunt ,Midfielder,26,,,41,59%,,6,21,40,15,,148,77,65,15,16,15,,0,7,882,33.92,7,139,37%,6,92,5,0,15,0,0,0,0,0,0,0,,,,,
108,Marcin Bulka ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,
109,Harry Bunn ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,
110,Oliver Burke ,Midfielder,15,,,6,67%,,2,7,2,1,,14,29,38,13,5,7,,0,2,140,9.33,1,9,22%,0,3,0,0,2,0,0,0,0,0,0,0,,,,,
111,Matt Butcher ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
112,Jack Butland ,Goalkeeper,35,6,61,,,,,,,,,,,,,,,1,1,0,"1,169",33.4,,,,,403,0,0,0,,0,,,,,,,,,,
113,George Byers ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
114,Sam Byram ,Defender,5,0,7,9,56%,0,2,9,13,9,0,10,25,17,2,13,8,0,0,0,84,16.8,0,10,30%,0,3,1,0,4,1,0,0,0,0,0,,,,,,
115,Willy Caballero ,Goalkeeper,3,1,4,,,,,,,,,,,,,,,0,0,0,88,29.33,,,,,17,0,0,0,,0,,,,,,,,,,
116,Yohan Cabaye ,Midfielder,31,,,70,63%,,14,79,28,5,,183,109,163,10,6,14,,1,1,"1,293",41.71,5,136,35%,6,62,7,0,35,1,0,0,0,0,2,0,,,,,
117,Tom Cadman ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
118,Gary Cahill ,Defender,27,9,24,29,72%,0,2,27,123,79,0,103,141,61,4,93,31,0,1,0,"1,330",49.26,0,0,0%,0,47,1,1,17,0,0,0,0,0,0,,,,,,
119,Dominic Calvert-Lewin ,Forward,32,,,15,,,10,10,22,13,,,,,,,,,,6,493,15.41,6,19,,,,4,0,43,15,4,2,1,1,0,0.13,,,,,
120,Geoff Cameron ,Midfielder,20,,,34,62%,,1,36,61,23,,89,94,82,14,39,32,,0,0,506,25.3,0,9,0%,0,28,2,0,16,0,0,0,0,0,0,0,,,,,
